filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
2. connecticut-sell-damaged-car.jpg,82352,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[331,411,543,667,773,852,896,890,801,759,685,646,571,548,311,284,301],""all_points_y"":[234,215,226,270,353,436,510,556,570,573,574,568,468,450,359,314,262]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
3. 635490615641330572-dentedcar.jpg,93663,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[254,289,326,372,559,682,709,696,651,621,617,599,537,498,446,378,328,254],""all_points_y"":[479,339,281,256,251,361,462,528,612,682,776,815,799,768,774,787,780,478]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
4. money_dented-bumper.jpg,67925,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[487,482,509,537,582,632,659,684,701,688,690,690,659,634,603,564,521,504],""all_points_y"":[498,418,300,215,145,148,181,198,226,336,457,535,585,628,629,603,562,543]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
5. damage-categories.jpg,77069,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[624,702,765,863,937,990,1021,1022,621,628,649,601,590],""all_points_y"":[418,400,403,418,446,481,506,735,785,709,667,606,464]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
7. types-of-car-body-damage-846x635.jpg,94607,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""polygon"",""all_points_x"":[729,723,715,745,751,774,787,802,791,796,796,798,785,771,760,752,738],""all_points_y"":[674,637,629,621,596,590,587,588,623,643,668,682,685,679,699,699,688]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
7. types-of-car-body-damage-846x635.jpg,94607,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""polygon"",""all_points_x"":[534,531,542,553,584,593,615,638,640,642,662,670,688,709,734,735,740,743,749,749,746,734,743,738,724,709,673,657,629,587,557,539],""all_points_y"":[350,400,418,443,478,481,464,475,495,520,537,564,574,581,584,553,514,478,450,428,400,378,354,331,320,309,354,343,357,357,347,351]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
13. car-accident-attorney.jpg,223388,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,0,"{""name"":""polygon"",""all_points_x"":[12,72,67,72,76,69,59,58,78,89,123,126,159,197,209,292,412,521,628,688,685,710,718,721,709,676,682,687,732,737,720,688,665,643,637,651,657,643,624,601,579,570,564,559,479,470,423,386,359,311,233,189,128,116,87,72,19,5,8],""all_points_y"":[849,840,788,743,699,679,649,631,610,606,603,637,637,620,615,631,643,637,626,626,649,654,654,701,712,712,756,762,799,809,857,930,966,955,933,910,888,885,887,901,930,948,980,997,935,943,952,971,976,987,996,999,1005,1024,1024,1022,891,868,849]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
13. car-accident-attorney.jpg,223388,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,1,"{""name"":""polygon"",""all_points_x"":[159,181,194,211,217,214,209,212,204,184,167,147,134,128,120,144,147,151],""all_points_y"":[506,496,496,510,523,554,564,584,593,610,621,626,621,587,578,545,523,518]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
13. car-accident-attorney.jpg,223388,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,2,"{""name"":""polygon"",""all_points_x"":[367,370,373,396,426,446,475,503,500,528,554,568,532,518,507,534,557,571,551,517,495,478,484,496,465,437,414,396,400,404],""all_points_y"":[562,554,543,524,506,500,504,500,495,492,489,493,521,531,543,543,545,556,568,578,581,587,606,624,631,635,634,624,596,585]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
13. car-accident-attorney.jpg,223388,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,3,"{""name"":""polygon"",""all_points_x"":[574,568,584,618,665,681,687,681,668,635,603,584,571],""all_points_y"":[365,376,406,420,414,401,373,351,339,337,336,343,356]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
